order_date,order_id,customer_id,segment,channel,region,city,product_category,product_name,units,unit_price,discount_pct,revenue,cost,margin_value,payment_method
2024-12-04,O20242648,C10091,SMB,Retail,Mendoza,San Rafael,Panificados,Medialunas Docena,6,1.66,0.113,8.83,5.92,2.91,Debit
2024-11-08,O20242456,C11524,Enterprise,Online,Córdoba,Río Cuarto,Verduras,Lechuga Unidad,1,2.55,0.101,2.29,1.6,0.69,Wallet
2025-08-02,O20244557,C10621,Consumer,Retail,Rosario,Rosario,Lácteos,Leche 1L,12,1.27,0.066,14.23,11.1,3.13,Transfer
2025-09-14,O20244884,C12411,Consumer,Online,Mendoza,Mendoza,Suplementos,Whey 1kg,14,32.6,0.116,403.46,221.9,181.56,Credit
2024-01-13,O20240092,C11135,Consumer,Retail,LatAm,Montevideo,Bebidas,Agua 500ml,6,1.29,0.061,7.27,5.45,1.82,Credit
2025-05-28,O20244038,C10667,SMB,Online,Mendoza,Mendoza,Panificados,Medialunas Docena,6,2.15,0.128,11.25,7.54,3.71,Credit
2024-01-05,O20240030,C10404,Consumer,Online,AMBA,GBA Sur,Lácteos,Yogur 1L,13,2.05,0.038,25.64,20.0,5.64,Debit
2024-08-08,O20241746,C12247,Consumer,Retail,Córdoba,Río Cuarto,Lácteos,Yogur 1L,6,1.22,0.092,6.65,5.19,1.46,Transfer
2024-08-01,O20241692,C10030,SMB,Retail,Rosario,Rosario,Verduras,Lechuga Unidad,20,2.21,0.059,41.59,29.11,12.48,Transfer
2024-10-14,O20242277,C10688,Consumer,Online,Córdoba,Río Cuarto,Snacks,Papas Onduladas,18,2.66,0.059,45.06,29.29,15.77,Transfer
2024-01-05,O20240031,C12887,Consumer,Retail,Córdoba,Córdoba,Frutas,Manzana Kg,1,2.22,0.164,1.86,1.34,0.52,Credit
2025-02-11,O20243206,C10826,SMB,Retail,Mendoza,Godoy Cruz,Bebidas,Jugo Naranja,16,1.4,0.031,21.71,16.28,5.43,Credit
2024-02-13,O20240360,C10306,SMB,Online,Córdoba,Río Cuarto,Lácteos,Leche 1L,1,2.78,0.12,2.45,1.91,0.54,Wallet
2024-08-25,O20241880,C12510,SMB,Online,LatAm,Lima,Panificados,Pan Lacteado,19,1.98,0.053,35.63,23.87,11.76,Cash
2025-02-01,O20243118,C11777,Consumer,Retail,AMBA,GBA Norte,Verduras,Lechuga Unidad,7,1.59,0.048,10.6,7.42,3.18,Credit
2024-03-15,O20240602,C12990,SMB,Online,Santa Fe,Rosario,Bebidas,Agua 1.5L,5,2.13,0.043,10.19,7.64,2.55,Credit
2024-10-27,O20242367,C12869,Consumer,Retail,LatAm,Santiago,Bebidas,Gaseosa Cola,14,1.77,0.022,24.23,18.17,6.06,Cash
2024-05-13,O20241071,C11982,SMB,Retail,AMBA,GBA Oeste,Frutas,Uva Kg,11,2.83,0.07,28.95,20.84,8.11,Transfer
2025-02-22,O20243286,C10851,SMB,Retail,LatAm,Santiago,Bebidas,Energética,20,1.64,0.195,26.4,19.8,6.6,Debit
2025-06-22,O20244237,C12121,Consumer,Retail,AMBA,GBA Sur,Lácteos,Queso Cremoso 500g,10,1.48,0.076,13.68,10.67,3.01,Cash
2024-10-12,O20242264,C10064,Enterprise,Online,Rosario,Rosario,Frutas,Uva Kg,12,1.93,0.02,22.7,16.34,6.36,Transfer
2024-02-20,O20240418,C10471,SMB,Online,Santa Fe,Rafaela,Panificados,Pan Lacteado,4,1.15,0.0,4.6,3.08,1.52,Credit
2024-04-07,O20240793,C10954,SMB,Wholesale,AMBA,GBA Sur,Lácteos,Leche 1L,15,1.02,0.024,14.93,11.65,3.28,Cash
2025-01-23,O20243048,C10276,Consumer,Online,Santa Fe,Rosario,Frutas,Manzana Kg,5,2.63,0.089,11.98,8.63,3.35,Credit
2024-07-28,O20241660,C11040,Consumer,Wholesale,AMBA,GBA Sur,Suplementos,Omega-3,3,12.13,0.004,36.24,19.93,16.31,Credit
2024-07-17,O20241582,C13281,SMB,Online,Córdoba,Río Cuarto,Lácteos,Leche 1L,6,1.25,0.131,6.52,5.09,1.43,Credit
2025-03-27,O20243568,C10010,Enterprise,Retail,LatAm,Montevideo,Panificados,Pan Integral,12,1.38,0.057,15.62,10.47,5.15,Debit
2025-08-29,O20244747,C10430,SMB,Retail,Mendoza,San Rafael,Bebidas,Jugo Naranja,3,2.04,0.087,5.59,4.19,1.4,Transfer
2024-08-14,O20241793,C13382,Consumer,Wholesale,Santa Fe,Rosario,Verduras,Zanahoria Kg,13,2.4,0.038,30.01,21.01,9.0,Debit
2025-09-22,O20244945,C13234,SMB,Online,AMBA,CABA,Suplementos,Multivitamínico,8,17.28,0.111,122.9,67.59,55.31,Credit
2024-07-16,O20241574,C13070,Consumer,Online,AMBA,GBA Sur,Frutas,Naranja Kg,11,2.77,0.104,27.3,19.66,7.64,Credit
2025-01-15,O20242979,C11224,Consumer,Wholesale,Mendoza,San Rafael,Snacks,Barra Cereal,9,2.71,0.125,21.34,13.87,7.47,Cash
2025-09-09,O20244845,C11826,Consumer,Retail,Córdoba,Villa María,Panificados,Pan Lacteado,17,1.05,0.019,17.51,11.73,5.78,Transfer
